,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
432,Dog,Intact Female,-0.39279756281388317,Maltese Mix,White,0
433,Cat,Unknown,-0.6500417101807731,Domestic Medium Hair Mix,White/Black,1
434,Dog,Spayed Female,-0.007856680423141398,German Shepherd Mix,White,0
435,Cat,Intact Female,-0.591745374626406,Domestic Shorthair Mix,White/Black,0
436,Other,Unknown,-0.5658358921577983,Raccoon,Gray,1
437,Cat,Neutered Male,-0.6583697581171113,Domestic Shorthair Mix,Silver Tabby/White,0
438,Dog,Spayed Female,-0.6657724673938563,German Shepherd Mix,Brown/Black,0
439,Dog,Spayed Female,0.6981767168464162,Staffordshire Mix,Blue/White,0
440,Cat,Intact Male,-0.7166660936714784,Domestic Shorthair,Cream Tabby/White,0
441,Dog,Neutered Male,-0.051347597424018475,Smooth Fox Terrier,Black/Tan,0
442,Other,Unknown,-0.39557357879266253,Bat,Black,1
443,Cat,Neutered Male,-0.058750306700763505,Domestic Medium Hair Mix,Black,1
444,Cat,Spayed Female,-0.5427024256679701,Domestic Shorthair Mix,Orange Tabby,0
445,Dog,Neutered Male,-0.66392179007467,Labrador Retriever,Brown Brindle,0
446,Dog,Neutered Male,-0.33450122725951603,Chinese Sharpei,Brown,0
447,Dog,Spayed Female,2.6487906112687325,Cocker Spaniel,Buff,0
448,Cat,Intact Male,-0.6907566112028708,Domestic Shorthair Mix,Brown Tabby/White,0
449,Dog,Intact Male,-0.2262366040871199,Chihuahua Shorthair Mix,Black,0
450,Dog,Spayed Female,0.28732635198706685,Border Collie Mix,Tricolor,0
451,Cat,Neutered Male,1.2589319445598524,Domestic Longhair,Brown Tabby/White,0
452,Dog,Neutered Male,-0.6722498380110082,German Shepherd Mix,Black/Tan,0
453,Cat,Intact Male,-0.7111140617139197,Domestic Shorthair Mix,Black/White,0
454,Dog,Spayed Female,-0.6768765313089739,Cocker Spaniel/Labrador Retriever,White/Tan,0
455,Cat,Neutered Male,-0.6685484833726357,Domestic Shorthair Mix,Orange Tabby,0
456,Cat,Neutered Male,1.313526925475847,Domestic Shorthair Mix,Cream Tabby,0
457,Dog,Spayed Female,-0.39279756281388317,Yorkshire Terrier Mix,Tan/White,0
458,Dog,Intact Male,0.11336268398355853,Miniature Poodle Mix,White,0
459,Cat,Intact Male,-0.7018606751179883,Domestic Shorthair Mix,Calico,0
460,Dog,Neutered Male,0.10503463604722037,German Shepherd Mix,Black/Brown,0
461,Dog,Spayed Female,-0.6629964514150769,Pit Bull Mix,Gray/White,0
462,Cat,Spayed Female,-0.6528177261595525,Domestic Shorthair Mix,Brown Tabby,0
463,Dog,Spayed Female,0.1124373453239654,Labrador Retriever Mix,Black,0
464,Cat,Neutered Male,-0.3761414669412068,Domestic Shorthair Mix,Brown Tabby/White,0
465,Dog,Intact Female,0.28084898136991493,Golden Retriever Mix,White,0
466,Cat,Neutered Male,-0.6796525472877533,Domestic Shorthair Mix,White/Black,0
467,Dog,Spayed Female,-0.0522729360836116,Staffordshire Mix,Brown/White,0
468,Dog,Spayed Female,-0.051347597424018475,Redbone Hound Mix,Red/White,0
469,Cat,Intact Male,-0.22438592676793365,Domestic Longhair Mix,Brown Tabby,0
470,Dog,Neutered Male,0.013426108747500574,American Pit Bull Terrier Mix,White,0
471,Dog,Neutered Male,-0.35763469374934426,Chihuahua Shorthair Mix,Brown/White,0
472,Cat,Intact Female,-0.6916819498624639,Domestic Shorthair Mix,Brown Tabby,0
473,Cat,Spayed Female,-0.6741005153301944,Domestic Shorthair Mix,Black/White,0
474,Dog,Neutered Male,-0.5038382019650587,Dachshund Mix,Buff,0
475,Dog,Neutered Male,-0.37706680560079997,Labrador Retriever Mix,Black,0
476,Dog,Spayed Female,0.2623422081780523,Pit Bull Mix,Brown Merle/White,0
477,Cat,Unknown,-0.39557357879266253,Domestic Shorthair Mix,Orange Tabby,0
478,Dog,Intact Male,-0.6944579658412433,Australian Cattle Dog Mix,Red Merle/Brown Merle,0
479,Cat,Spayed Female,-0.6195055344141999,Domestic Medium Hair,Black/White,0
